2569,2604,1/2-1/2
2639,2556,0-1
2445,2673,0-1
2440,2579,0-1
2533,2563,0-1
2376,2547,0-1
2550,2421,1/2-1/2
2400,2542,1-0
2427,2531,1/2-1/2
2495,2439,1/2-1/2
2464,2309,1/2-1/2
2402,2463,1-0
2453,2370,1-0
2442,2303,1-0
2507,2256,1-0
2494,2279,0-1
2482,2198,1-0
2286,2436,0-1
2253,2383,1/2-1/2
2310,2190,1/2-1/2
2249,2527,0-1
2472,2251,1-0
2219,2408,0-1
2195,2404,0-1
2199,2365,0-1
2351,2252,1-0
2182,2350,0-1
2345,2173,1-0
1986,2339,0-1
2161,2288,1/2-1/2
2257,2162,0-1
2368,2151,1-0
2248,2122,1-0
1660,2225,0-1
2171,2130,1-0
2132,2065,1-0
2052,1940,0-1
1939,2211,0-1
1949,2094,0-1
1787,2092,0-1
1775,2079,0-1
2012,1913,1-0
1959,1646,1-0
1951,2076,0-1
2009,1882,1-0
1949,1904,1-0
1564,1720,0-1
1646,1724,0-1
2577,2649,1-0
2534,2574,0-1
2536,2495,1-0
2533,2654,1/2-1/2
2650,2554,1-0
2495,2634,0-1
2455,2624,0-1
2560,2465,1-0
2600,2426,1-0
2471,2581,1-0
2515,2454,1-0
2398,2512,1/2-1/2
2487,2405,1/2-1/2
2391,2483,0-1
2448,2333,0-1
2434,2317,1-0
2429,2317,1-0
2278,2412,0-1
2315,2398,1/2-1/2
2176,2383,1/2-1/2
2156,2382,1-0
2381,2197,1-0
1710,2358,0-1
2119,2347,0-1
2524,2158,1-0
2266,2383,0-1
2364,2330,1/2-1/2
2355,2217,1/2-1/2
2032,2360,1-0
2260,2061,0-1
2198,1974,1-0
2069,2162,1/2-1/2
2162,2079,1-0
2040,2155,1/2-1/2
2140,2032,1-0
2008,2135,0-1
2124,1930,1-0
2004,2123,0-1
2132,1809,1-0
2248,2016,1-0
2189,1964,1/2-1/2
2164,1714,1/2-1/2
1958,1872,0-1
1946,1609,1-0
1653,1944,0-1
1888,1705,0-1
1587,1769,1/2-1/2
1485,1716,0-1
1446,1821,1/2-1/2
1784,1725,1/2-1/2
1750,1534,0-1
2627,2602,1/2-1/2
2600,2683,1-0
2643,2586,1-0
2507,2606,0-1
2602,2579,1-0
2670,2563,0-1
2336,2640,0-1
2603,2557,1/2-1/2
2593,2506,1/2-1/2
2580,2524,1-0
2578,2379,1-0
2565,2333,1/2-1/2
2444,2647,0-1
2533,2428,1-0
2417,2529,1/2-1/2
2529,2347,1-0
2412,2527,1/2-1/2
2369,2524,1/2-1/2
2505,2338,1-0
2340,2495,0-1
2332,2480,1-0
2454,2320,1/2-1/2
2419,2282,1-0
2258,2471,0-1
2291,2410,1-0
2398,2200,1-0
2220,2396,0-1
2240,2393,1/2-1/2
2389,2183,1-0
2214,2385,1/2-1/2
2358,2163,1-0
2330,2165,1-0
2204,2329,1/2-1/2
2195,2307,1-0
2177,2299,0-1
2098,2367,0-1
2432,2168,1-0
2387,2140,1/2-1/2
