a,b,c,d,e,f,g,h
31, 27, 116, 58, 36, 157, 10, 12
22, 244, 55, 410, 534, 119, 592, 52
178, 168, 553, 472, 496, 839, 240, 173
38, 253, 431, 643, 539, 432, 333, 40
52, 181, 417, 575, 575, 376, 232, 53
99, 202, 622, 595, 568, 666, 213, 119
24, 145, 94, 353, 325, 109, 405, 40
30, 30, 86, 27, 29, 162, 8, 3
