R,N,B,Q,K,P
5793, 1652, 2071, 1192, 0, 5633
918, 4812, 2889, 655, 0, 6795
1273, 5575, 4490, 563, 0, 4970
1415, 1872, 2340, 2756, 0, 4807
772, 356, 910, 349, 0, 1514
843, 3194, 3018, 703, 0, 20275
