elo1, elo2, res
2556,2297,1-0
2314,2530,0-1
2312,2507,0-1
2269,2498,1/2-1/2
2485,2263,1-0
2260,2478,1-0
2473,2260,1-0
2235,2472,1/2-1/2
2226,2468,1/2-1/2
2223,2466,0-1
2462,2211,1-0
2197,2439,0-1
2180,2435,0-1
2169,2432,0-1
2141,2430,0-1
2421,2131,1-0
2125,2419,0-1
2405,2125,1-0
2071,2375,0-1
1980,2369,0-1
2364,2090,1-0
2359,2075,1-0
1910,2350,1-0
2644,1870,1-0
2016,2386,0-1
2375,2072,1-0
2369,2041,1-0
2046,2362,0-1
2307,1992,1-0
2302,1953,1/2-1/2
2284,1961,1/2-1/2
2280,1936,1-0
2009,2279,1-0
2274,1872,1-0
2000,2235,0-1
1985,2222,1-0
2212,1915,1-0
1969,2204,0-1
1909,2180,1-0
1903,2148,1-0
2136,1783,1-0
2135,1671,1-0
1888,2133,0-1
1873,2078,1/2-1/2
1871,2281,1/2-1/2
2125,1878,1-0
1853,2071,1-0
2069,1856,1-0
2059,1827,1-0
1766,2053,0-1
2050,1817,1/2-1/2
2044,1792,1-0
2028,1759,1-0
1747,2017,0-1
2008,1736,1-0
1997,1733,1-0
1991,1731,1-0
1990,1714,1-0
1695,1988,0-1
1610,1978,1/2-1/2
1960,1700,1-0
1479,1957,1/2-1/2
1953,1519,1-0
1451,1909,0-1
1949,1693,1/2-1/2
1935,1575,1-0
1646,1840,1/2-1/2
1840,1652,0-1
1823,1557,1-0
1623,1809,1-0
1734,1449,1/2-1/2
1811,1354,1/2-1/2
1251,1759,1-0
1613,1197,1-0
2678,2715,1/2-1/2
2644,2688,1/2-1/2
2722,2569,1-0
2486,2709,0-1
2684,2501,1-0
2609,2643,1/2-1/2
2637,2509,1/2-1/2
2675,2431,1-0
2466,2710,1/2-1/2
2709,2473,1-0
2416,2212,1/2-1/2
2460,2631,1/2-1/2
2568,2432,0-1
2439,2603,0-1
2602,2435,1-0
2622,2462,1/2-1/2
2430,2566,0-1
2419,2566,0-1
2411,2565,1-0
2563,2421,1-0
2407,2556,0-1
2533,2405,1/2-1/2
2375,2531,1/2-1/2
2530,2364,1-0
2507,1910,1-0
2369,2496,0-1
2313,2485,1/2-1/2
2478,2359,1/2-1/2
2271,2441,1-0
2269,2644,0-1
2622,2257,1-0
2498,2226,1-0
2472,2136,1/2-1/2
2468,2235,1-0
2414,2135,1/2-1/2
2235,2411,0-1
2407,2124,1-0
2386,2075,1-0
2204,2375,0-1
2133,2369,1/2-1/2
2362,2009,1-0
1985,2307,0-1
1909,2280,0-1
1903,2274,0-1
2350,2069,1-0
2059,2335,0-1
2329,2044,1-0
2053,2314,0-1
2028,2312,0-1
2017,2302,0-1
2297,2008,1-0
1997,2284,0-1
2263,1991,1-0
1990,2260,1-0
2260,1990,1/2-1/2
2236,1980,1-0
1988,2223,0-1
2211,1960,0-1
1961,2197,0-1
1953,2180,1/2-1/2
1953,2169,0-1
1909,2141,0-1
2131,1903,1-0
1903,2125,1/2-1/2
1896,2125,0-1
2125,1894,1/2-1/2
2090,1873,1/2-1/2
2078,1871,0-1
2075,1853,0-1
1870,2071,0-1
2281,1936,1-0
2279,1935,1-0
2222,1915,1-0
2180,1888,1-0
2148,1872,1-0
1783,2050,0-1
1817,2046,0-1
2041,1823,1/2-1/2
1693,2016,0-1
1671,2000,0-1
1992,1610,1/2-1/2
1978,1479,0-1
1652,1969,0-1
1957,1623,1/2-1/2
1714,1949,1-0
1878,1700,1-0
1856,1661,1-0
1840,1613,1/2-1/2
