a,b,c,d,e,f,g,h
24, 48, 79, 311, 39, 51, 16, 9
17, 64, 87, 142, 117, 81, 62, 12
61, 193, 149, 201, 142, 185, 67, 28
36, 117, 152, 183, 211, 125, 119, 25
47, 80, 171, 316, 180, 115, 110, 24
23, 169, 128, 138, 130, 206, 102, 18
11, 52, 114, 196, 135, 84, 58, 16
30, 31, 46, 217, 52, 38, 19, 9
