R,N,B,Q,K,P
1448.25,413,517.75,1192,0,88.015625
229.5,1203,722.25,655,0,106.171875
318.25,1393.75,1122.5,563,0,77.65625
353.75,468,585,2756,0,75.109375
193,89,227.5,349,0,23.65625
210.75,798.5,754.5,703,0,316.796875
