a,b,c,d,e,f,g,h
24, 25, 41, 32, 40, 55, 10, 4
19, 42, 75, 400, 210, 123, 46, 37
42, 202, 1177, 294, 370, 1182, 218, 64
90, 197, 529, 1421, 1467, 379, 237, 86
124, 155, 470, 1319, 1432, 335, 249, 81
34, 173, 1267, 303, 334, 822, 188, 47
26, 33, 70, 339, 172, 90, 27, 17
19, 17, 37, 35, 40, 53, 10, 5
