a,b,c,d,e,f,g,h
246, 154, 446, 624, 425, 363, 70, 122
78, 129, 184, 247, 195, 225, 66, 46
55, 93, 153, 247, 186, 166, 74, 35
62, 57, 120, 223, 205, 112, 67, 42
58, 88, 164, 248, 170, 137, 56, 35
49, 117, 186, 199, 154, 170, 85, 45
63, 117, 195, 247, 198, 169, 79, 39
252, 178, 437, 643, 436, 315, 68, 100
