a,b,c,d,e,f,g,h
325, 254, 682, 1025, 540, 626, 106, 147
534, 976, 605, 1282, 1204, 1032, 1094, 480
836, 1265, 2866, 2057, 2075, 3381, 1530, 744
838, 2151, 3115, 7072, 5254, 2575, 1856, 780
905, 1888, 3384, 7352, 4785, 2232, 1748, 756
639, 1316, 2957, 1606, 1613, 2417, 1270, 553
515, 918, 722, 1184, 909, 812, 821, 334
331, 256, 606, 922, 557, 568, 105, 117
