X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,14,9,12,21,9,15,2,4
6,44,31,41,75,56,60,21,45
5,191,178,199,439,433,175,166,165
4,514,487,549,582,581,577,470,489
3,731,750,537,195,416,581,1109,1014
2,994,817,279,19,78,1094,1128,1101
1,0,0,0,0,0,0,0,0
