X,a,b,c,d,e,f,g,h
8,5,5,7,2,3,0,3,3
7,3,1,4,5,3,5,1,4
6,0,5,3,7,1,8,7,1
5,4,4,4,3,13,3,7,2
4,2,2,6,4,5,6,4,3
3,3,5,6,7,6,7,6,0
2,1,3,6,5,13,8,1,0
1,2,3,2,3,2,7,1,3
