X,a,b,c,d,e,f,g,h
8,2,2,1,3,5,1,2,2
7,0,0,1,1,2,8,0,2
6,6,6,2,4,1,5,2,1
5,2,2,4,6,2,2,4,0
4,1,0,12,5,9,3,6,3
3,2,2,3,6,7,7,2,1
2,0,4,5,10,2,4,2,0
1,1,3,5,0,0,0,0,1
