X,a,b,c,d,e,f,g,h
8,1705,498,818,964,954,1495,153,521
7,52,34,75,106,82,91,9,21
6,35,32,37,28,47,52,36,29
5,27,20,26,32,26,34,12,19
4,19,16,37,22,27,20,7,1
3,6,9,7,10,4,6,0,1
2,21,13,23,17,9,7,4,5
1,2,1,1,2,1,0,0,2
