X,a,b,c,d,e,f,g,h
8,0,1,3456,3,0,1309,0,3
7,19,419,2,190,1208,1,1437,37
6,44,63,25,308,214,19,45,3
5,15,0,231,4,2,265,1,47
4,0,263,0,5,9,1,261,0
3,0,0,3,0,2,0,0,3
2,0,1,2,0,0,1,0,0
1,0,0,0,1,0,0,0,0
