X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,0,0,1,0,0,1,0,0
6,0,0,0,0,0,0,0,0
5,0,110,0,0,3,0,182,0
4,60,0,226,0,0,124,0,10
3,1,6,0,177,67,2,2,0
2,0,69,1,40,105,0,567,0
1,0,0,2737,0,0,1951,0,0
