X,a,b,c,d,e,f,g,h
8,31,16,392,42,47,195,8,13
7,23,535,41,373,474,47,820,26
6,128,80,154,203,294,211,100,87
5,11,42,100,59,69,110,58,32
4,19,53,28,49,51,21,47,13
3,12,10,13,18,11,9,8,32
2,10,12,8,2,8,10,3,3
1,2,1,3,1,1,1,0,2
