X,a,b,c,d,e,f,g,h
8,1,10,18,6,17,25,6,1
7,3,8,19,44,25,12,12,8
6,10,24,26,33,31,44,20,4
5,9,9,32,31,34,17,17,14
4,9,17,28,27,26,23,12,3
3,6,9,14,23,11,10,3,1
2,3,4,5,4,6,8,1,2
1,0,1,1,3,6,2,0,0
