X,a,b,c,d,e,f,g,h
8,0,3,0,0,1,0,0,0
7,1,2,3,0,0,1,1,1
6,2,3,0,8,1,0,0,3
5,3,8,13,10,8,6,2,1
4,9,3,2,20,8,6,3,3
3,19,11,23,28,15,28,7,24
2,15,10,31,44,22,35,9,5
1,3231,421,701,1359,1122,2481,79,1151
