X,a,b,c,d,e,f,g,h
8,0,3,2,3,3,6,1,0
7,0,1,8,8,9,6,3,1
6,1,2,5,13,12,10,6,0
5,2,3,3,10,9,8,6,3
4,2,2,1,16,4,5,7,1
3,1,1,4,9,4,4,6,1
2,1,1,2,2,1,4,2,0
1,0,1,1,0,0,0,0,0
