X,a,b,c,d,e,f,g,h
8,0,4,2,2,6,8,1,1
7,0,1,5,9,13,8,5,2
6,2,2,7,17,14,10,4,2
5,1,4,9,10,13,11,6,2
4,3,4,4,11,7,7,2,3
3,1,4,2,3,4,5,6,3
2,2,0,1,3,5,3,1,0
1,0,1,3,0,0,0,0,0
