X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,5,5,10,13,12,9,9,3
6,36,29,37,69,45,69,25,37
5,194,207,303,666,666,223,214,178
4,724,666,868,911,975,774,501,544
3,1071,1026,844,336,663,768,1475,1362
2,1941,1732,611,27,197,2049,2115,2162
1,0,0,0,0,0,0,0,0
