X,a,b,c,d,e,f,g,h
8,0,1,1,1,0,2,1,0
7,0,2,3,1,1,3,4,0
6,1,5,2,6,3,7,2,3
5,3,6,3,4,5,7,9,3
4,3,5,10,10,13,9,9,9
3,4,8,9,10,9,19,13,10
2,1,8,11,14,14,18,25,12
1,1,2,8,6,10,13,11,8
