X,a,b,c,d,e,f,g,h
8,17,19,19,15,3,7,4,11
7,37,33,26,23,18,10,16,15
6,18,28,15,16,14,12,12,7
5,20,22,17,10,18,8,12,11
4,21,15,23,10,22,11,7,10
3,8,23,16,30,37,26,8,9
2,16,30,30,61,55,32,21,16
1,24,36,54,59,68,49,20,35
