X,a,b,c,d,e,f,g,h
8,0,0,9,2,9,8,2,1
7,0,3,1,10,16,8,3,1
6,0,4,7,7,9,9,3,2
5,2,5,6,10,11,5,3,2
4,2,4,5,13,13,9,4,3
3,0,7,12,3,5,3,3,1
2,3,2,1,5,2,2,1,1
1,0,0,3,2,3,2,1,0
