X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,1558,1364,451,62,248,2129,1645,2144
6,1135,805,758,792,1132,537,1589,1044
5,610,619,665,903,817,575,369,391
4,168,288,297,229,261,141,94,104
3,19,31,23,33,18,15,17,17
2,2,5,5,1,4,2,7,1
1,0,0,0,0,0,0,0,0
