X,a,b,c,d,e,f,g,h
8,2,4,3,4,2,7,0,0
7,7,13,11,7,12,7,3,7
6,14,28,24,22,24,19,9,26
5,11,33,41,37,28,23,42,13
4,6,21,51,62,50,55,17,9
3,16,51,72,117,116,96,46,30
2,11,76,63,81,87,54,170,14
1,12,36,60,27,37,103,8,4
