X,a,b,c,d,e,f,g,h
8,1,2,2,3,1,0,0,1
7,9,13,13,8,5,6,3,5
6,4,7,7,28,3,2,1,4
5,5,8,20,14,29,9,6,3
4,15,12,12,33,25,21,8,20
3,43,24,41,62,60,70,35,41
2,33,21,77,115,64,73,11,10
1,2084,490,865,1511,1235,1846,142,735
