2604,2556,1/2-1/2
2673,2479,1/2-1/2
2563,2579,1-0
2547,2569,1-0
2442,2639,0-1
2421,2453,0-1
2402,2445,0-1
2586,2400,0-1
2440,2550,1-0
2439,2533,0-1
2531,2376,1-0
2309,2507,0-1
2436,2495,1/2-1/2
2427,2482,1/2-1/2
2279,2473,0-1
2418,2464,0-1
2542,2351,1/2-1/2
2350,2527,1/2-1/2
2339,2472,0-1
2463,2345,1-0
2408,2310,0-1
2404,2303,1-0
2383,2256,1-0
2370,2190,1/2-1/2
2365,2253,1-0
2162,2286,0-1
2198,2494,1/2-1/2
1940,2368,1/2-1/2
2288,2171,1/2-1/2
2130,2248,1/2-1/2
2225,2161,1/2-1/2
2252,2132,1-0
2173,2257,0-1
2251,2012,1/2-1/2
2151,2249,0-1
2092,2219,1-0
2211,1959,0-1
2094,2199,1-0
2079,2182,0-1
2130,1986,1-0
2122,2009,1-0
2065,1660,0-1
1902,2052,1-0
1720,1953,1/2-1/2
1951,1787,0-1
1646,1949,0-1
1724,1949,0-1
1913,1775,1-0
1904,1564,1-0
1951,1646,1-0
2574,2577,1/2-1/2
2624,2650,1/2-1/2
2649,2560,1-0
2634,2536,1-0
2654,2515,1-0
2495,2600,0-1
2483,2534,1-0
2471,2533,1/2-1/2
2554,2398,1/2-1/2
2512,2381,1/2-1/2
2412,2495,0-1
2358,2487,0-1
2465,2156,1-0
2405,2455,1/2-1/2
2347,2434,1/2-1/2
2333,2429,1/2-1/2
2581,2391,0-1
2383,2524,0-1
2454,2315,1-0
2426,2176,1/2-1/2
2398,2032,1-0
2383,2448,1/2-1/2
2382,2162,1-0
2197,2364,1-0
2135,2355,0-1
2330,2140,1-0
2317,2124,1-0
2317,2131,0-1
2061,2278,1/2-1/2
2217,2119,1-0
2123,2198,0-1
2266,1710,1-0
1872,2248,0-1
2162,2132,1-0
2158,2040,0-1
2155,2069,1/2-1/2
1964,2360,0-1
1944,2260,0-1
1930,2189,1/2-1/2
1809,2164,1-0
2079,1946,0-1
1716,2008,0-1
1705,2004,0-1
1974,1714,1/2-1/2
2016,1587,1-0
1769,1888,1/2-1/2
1534,1958,0-1
1821,1784,0-1
1446,1653,0-1
1609,1485,0-1
1725,1750,0-1
2563,2643,1/2-1/2
2602,2627,1/2-1/2
2606,2600,1/2-1/2
2640,2580,1/2-1/2
2602,2578,1/2-1/2
2683,2533,1-0
2647,2529,1/2-1/2
2495,2603,0-1
2333,2593,0-1
2586,2507,1-0
2579,2505,1-0
2506,2565,1-0
2557,2332,1-0
2396,2670,0-1
2529,2389,1-0
2527,2369,1-0
2524,2358,1-0
2524,2336,1-0
2471,2330,1-0
2379,2454,0-1
2320,2419,1/2-1/2
2299,2417,0-1
2291,2412,1-0
2195,2398,1/2-1/2
2480,2328,1-0
2220,2444,1-0
2282,2432,0-1
2428,2323,1/2-1/2
2393,2307,1-0
2385,2173,1/2-1/2
2367,2240,1/2-1/2
2347,2214,0-1
2011,2340,0-1
2338,2142,1/2-1/2
2332,2204,1-0
2329,1871,1-0
2031,2410,0-1
2153,2387,0-1
2140,2368,0-1
2327,2117,1-0
2307,2157,1/2-1/2
2095,2258,0-1
2091,2220,0-1
2200,2098,1-0
2183,2090,1-0
2089,2177,0-1
2165,2039,1-0
2163,1983,1-0
2158,1824,1-0
1554,2306,0-1
2247,2087,1-0
2099,2171,0-1
1830,2170,0-1
2168,2028,1-0
2158,1923,1-0
1859,2135,0-1
2133,1854,1-0
2233,1913,1-0
1851,2165,0-1
1842,2105,0-1
2098,1829,1/2-1/2
1792,2056,0-1
2047,1808,1-0
1626,2014,0-1
1791,2008,1/2-1/2
1625,1991,1-0
1554,1963,0-1
1945,1683,1-0
1924,1639,1-0
1702,2026,0-1
