2542,2579,1/2-1/2
2531,2550,1-0
2639,2445,1/2-1/2
2482,2673,1/2-1/2
2376,2604,0-1
2464,2563,1/2-1/2
2556,2436,1-0
2547,2440,1-0
2303,2494,1-0
2586,2383,1-0
2569,2365,1-0
2533,2339,1/2-1/2
2368,2527,1/2-1/2
2345,2507,0-1
2495,2279,1/2-1/2
2473,2309,0-1
2310,2472,0-1
2453,2288,0-1
2442,2249,1/2-1/2
2427,2252,1-0
2253,2421,0-1
2162,2418,0-1
2130,2408,0-1
2122,2402,0-1
2219,2479,0-1
2094,2463,1/2-1/2
2439,2198,0-1
2404,2190,1/2-1/2
2400,2173,1-0
2351,1949,1-0
1939,2350,1/2-1/2
2286,1940,1/2-1/2
2052,2370,0-1
2009,2256,0-1
1953,2225,1-0
1904,2211,0-1
2195,2076,1/2-1/2
2182,2065,1-0
2171,2027,1/2-1/2
2161,1913,1-0
1902,2151,1/2-1/2
2132,1787,1/2-1/2
2130,1720,1-0
1882,2092,1/2-1/2
2079,1646,1-0
1660,2257,0-1
2248,1949,1-0
1775,1951,1-0
2199,1646,1-0
1986,1564,1-0
2471,2654,1/2-1/2
2434,2649,1-0
2650,2512,1/2-1/2
2634,2495,1/2-1/2
2600,2465,1/2-1/2
2495,2581,1-0
2483,2574,0-1
2448,2534,0-1
2624,2454,1/2-1/2
2577,2383,1-0
2560,2382,0-1
2383,2554,1/2-1/2
2533,2358,1-0
2524,2330,1-0
2515,2278,1-0
2455,2317,1-0
2398,2429,1/2-1/2
2360,2426,1/2-1/2
2412,2197,1-0
2155,2405,0-1
2398,2131,1-0
2536,2079,1-0
2487,2217,1-0
2248,2364,0-1
2355,2189,1/2-1/2
2156,2347,1/2-1/2
2333,2135,1-0
2317,2061,1-0
2315,2032,1/2-1/2
2266,2008,1-0
2132,2260,1-0
2069,2391,0-1
2381,2040,1-0
2198,2032,1-0
2016,2176,0-1
2164,2004,1-0
1964,2162,0-1
2162,1946,1-0
1872,2158,0-1
2140,1809,0-1
2124,1769,1-0
1716,2123,0-1
2119,1710,1/2-1/2
1446,1974,0-1
1750,1958,1/2-1/2
1930,1725,1-0
1888,1587,1-0
1653,1821,1-0
1784,1485,1/2-1/2
1705,1944,1-0
1534,1714,0-1
2524,2683,1/2-1/2
2670,2579,0-1
2643,2565,0-1
2627,2454,1/2-1/2
2432,2600,1/2-1/2
2527,2640,0-1
2603,2524,1-0
2602,2471,1-0
2323,2586,1-0
2580,2428,1-0
2578,2417,1-0
2563,2396,1-0
2533,2410,1/2-1/2
2419,2529,1/2-1/2
2338,2647,0-1
2333,2606,0-1
2332,2602,0-1
2593,2329,1-0
2330,2557,1/2-1/2
2529,2307,1-0
2507,2299,1-0
2328,2506,0-1
2307,2505,1/2-1/2
2282,2495,1/2-1/2
2247,2480,1-0
2233,2444,1/2-1/2
2412,2220,1-0
2398,2214,1/2-1/2
2387,2200,1-0
2240,2385,1/2-1/2
2379,1792,1-0
2220,2369,0-1
2195,2367,1/2-1/2
2358,2183,1-0
2173,2347,0-1
2393,2171,1-0
2204,2389,1/2-1/2
2368,2158,0-1
2340,2153,1-0
2336,2133,1/2-1/2
2142,2332,0-1
2039,2327,0-1
1923,2320,1-0
2306,2110,1-0
2291,2089,1/2-1/2
2258,2031,0-1
2228,1859,1-0
2177,1918,1-0
1983,2170,1/2-1/2
1965,2168,1/2-1/2
2163,1963,1-0
1945,2158,1/2-1/2
1913,2140,1/2-1/2
2135,1874,1-0
2117,1842,1/2-1/2
2105,1830,0-1
1880,2099,0-1
2098,1828,1-0
1871,2098,1/2-1/2
2095,1808,1-0
1829,2091,0-1
2090,1791,0-1
2087,1712,1-0
2056,1698,1-0
1795,2047,1-0
2028,1625,1-0
1824,2026,1-0
2014,1554,0-1
1719,2011,0-1
2008,1437,1-0
1626,1991,0-1
1835,1924,1-0
1917,1702,1/2-1/2
1854,1694,1-0
1517,2165,0-1
1501,2165,0-1
1949,1481,1/2-1/2
2767,2611,1-0
2591,2700,0-1
2561,2664,0-1
2653,2506,1-0
2635,2504,1-0
2500,2635,0-1
2356,2612,1/2-1/2
2666,2456,1/2-1/2
2454,2639,1/2-1/2
2615,2452,1-0
2588,2440,1/2-1/2
2577,2421,0-1
2410,2556,1/2-1/2
2531,2400,1/2-1/2
2512,2358,1/2-1/2
2502,2350,1/2-1/2
2575,2279,1-0
2255,2523,0-1
2245,2461,1/2-1/2
2460,2241,1-0
2226,2439,1/2-1/2
2432,2219,1-0
2224,2424,1/2-1/2
2422,2205,1-0
2205,2416,0-1
2398,2202,1-0
2183,2372,0-1
2361,2175,1/2-1/2
2178,2360,0-1
2171,2357,0-1
2170,2355,0-1
2164,2346,1/2-1/2
2346,2147,0-1
2153,2341,1/2-1/2
2132,2331,1/2-1/2
2129,2321,0-1
2290,1928,1-0
1876,2283,0-1
1858,2279,1/2-1/2
2336,1789,1-0
2594,2093,1-0
2326,2082,1-0
2210,1926,1-0
2287,2034,1-0
2269,2000,1/2-1/2
1941,2250,0-1
2239,1939,1-0
1959,2289,1-0
2195,1900,1-0
1793,2161,0-1
2148,1878,1-0
1688,2122,1/2-1/2
1558,2108,0-1
1936,2265,0-1
2217,1926,0-1
2217,1884,1-0
1892,2152,1/2-1/2
2127,1882,1-0
2121,1879,1-0
1884,2117,1-0
1879,2102,0-1
2098,1877,1-0
2092,1875,1-0
1864,2091,0-1
1849,2067,1-0
2057,1852,1/2-1/2
2045,1810,1/2-1/2
2045,1734,0-1
1824,2032,0-1
1763,2011,1-0
2007,1682,1-0
1731,2003,0-1
2000,1657,1-0
1997,1716,0-1
1677,1960,0-1
1643,1948,0-1
1961,2310,1/2-1/2
1528,1939,1/2-1/2
2048,1602,1/2-1/2
1707,2040,1-0
1544,1913,1-0
1323,1638,1-0
1903,1449,1-0
1379,1772,0-1
1612,1298,0-1
2643,2722,1/2-1/2
2715,2622,1-0
2709,2609,1/2-1/2
2688,2563,1-0
