elo1, elo2, res, round
1720,2052,0-1,5
2009,1660,1/2-1/2,5
1646,1986,0-1,5
1949,1951,1/2-1/2,5
1564,1959,0-1,5
2303,2604,0-1,6
2547,2673,1/2-1/2,6
2639,2531,1-0,6
2482,2556,0-1,6
2445,2550,1-0,6
2586,2542,1-0,6
2436,2579,0-1,6
2569,2339,1-0,6
2563,2418,1-0,6
2533,2408,1-0,6
2427,2507,1/2-1/2,6
2402,2479,1/2-1/2,6
2376,2440,1/2-1/2,6
2365,2494,1/2-1/2,6
2473,2350,1/2-1/2,6
2472,2309,0-1,6
2464,2288,1-0,6
2453,2279,1/2-1/2,6
2442,2256,1/2-1/2,6
2368,2421,0-1,6
2400,2190,1-0,6
2286,2383,1-0,6
2253,2370,0-1,6
2198,2527,1-0,6
2495,2173,1-0,6
2248,2463,0-1,6
2182,2439,0-1,6
2171,2404,1/2-1/2,6
2351,2162,1-0,6
2310,2151,1/2-1/2,6
2257,2094,1-0,6
2251,1787,1-0,6
2345,2092,1-0,6
2052,2252,0-1,6
2219,2079,1/2-1/2,6
1986,2211,1-0,6
2199,2065,1-0,6
2161,2027,1/2-1/2,6
2130,1940,1-0,6
1953,2130,1/2-1/2,6
1939,2122,0-1,6
1775,2225,1/2-1/2,6
2195,1904,1-0,6
1902,2132,0-1,6
1882,2076,1/2-1/2,6
1660,2012,1/2-1/2,6
1959,1913,1/2-1/2,6
1951,1720,1-0,6
1949,1646,0-1,6
1646,1564,1/2-1/2,6
2604,2639,1/2-1/2,7
2556,2445,1/2-1/2,7
2673,2563,1/2-1/2,7
2547,2586,1/2-1/2,7
2579,2533,1/2-1/2,7
2303,2569,0-1,7
2550,2427,1/2-1/2,7
2542,2402,1/2-1/2,7
2531,2400,1/2-1/2,7
2507,2376,0-1,7
2421,2482,1-0,7
2479,2286,1-0,7
2370,2464,1/2-1/2,7
2440,2198,1-0,7
2309,2494,1/2-1/2,7
2350,2495,0-1,7
2339,2473,0-1,7
2463,2365,1-0,7
2408,2453,0-1,7
2251,2442,0-1,7
2439,2257,1-0,7
2279,2436,1/2-1/2,7
2418,2249,1-0,7
2256,2351,1-0,7
2252,2472,1/2-1/2,7
2404,2199,1/2-1/2,7
2383,2171,1-0,7
2190,2368,1-0,7
2151,2345,1/2-1/2,7
2130,2310,0-1,7
2288,1986,1/2-1/2,7
2122,2253,0-1,7
2527,1953,1-0,7
2130,2248,1/2-1/2,7
2094,2219,0-1,7
2079,2195,0-1,7
2027,2182,0-1,7
2173,1787,1-0,7
2162,1775,1-0,7
2225,1951,1-0,7
2211,1949,1/2-1/2,7
2092,1939,1/2-1/2,7
2076,1660,0-1,7
2065,1882,1-0,7
1646,2052,1/2-1/2,7
1940,1951,1-0,7
1904,2009,1/2-1/2,7
1724,1959,0-1,7
1913,1902,1-0,7
1720,1949,1/2-1/2,7
2569,2604,1/2-1/2,8
2639,2556,0-1,8
2445,2673,0-1,8
2440,2579,0-1,8
2533,2563,0-1,8
2376,2547,0-1,8
2550,2421,1/2-1/2,8
2400,2542,1-0,8
2427,2531,1/2-1/2,8
2495,2439,1/2-1/2,8
2464,2309,1/2-1/2,8
2402,2463,1-0,8
2453,2370,1-0,8
2442,2303,1-0,8
2507,2256,1-0,8
2494,2279,0-1,8
2482,2198,1-0,8
2286,2436,0-1,8
2253,2383,1/2-1/2,8
2310,2190,1/2-1/2,8
2249,2527,0-1,8
2472,2251,1-0,8
2219,2408,0-1,8
2195,2404,0-1,8
2199,2365,0-1,8
2351,2252,1-0,8
2182,2350,0-1,8
2345,2173,1-0,8
1986,2339,0-1,8
2161,2288,1/2-1/2,8
2257,2162,0-1,8
2368,2151,1-0,8
2248,2122,1-0,8
1660,2225,0-1,8
2171,2130,1-0,8
2132,2065,1-0,8
2052,1940,0-1,8
1939,2211,0-1,8
1949,2094,0-1,8
1787,2092,0-1,8
1775,2079,0-1,8
2012,1913,1-0,8
1959,1646,1-0,8
1951,2076,0-1,8
2009,1882,1-0,8
1949,1904,1-0,8
1564,1720,0-1,8
1646,1724,0-1,8
2604,2556,1/2-1/2,9
2673,2479,1/2-1/2,9
2563,2579,1-0,9
2547,2569,1-0,9
2442,2639,0-1,9
2421,2453,0-1,9
2402,2445,0-1,9
2586,2400,0-1,9
2440,2550,1-0,9
2439,2533,0-1,9
2531,2376,1-0,9
2309,2507,0-1,9
2436,2495,1/2-1/2,9
2427,2482,1/2-1/2,9
2279,2473,0-1,9
2418,2464,0-1,9
2542,2351,1/2-1/2,9
2350,2527,1/2-1/2,9
2339,2472,0-1,9
2463,2345,1-0,9
2408,2310,0-1,9
2404,2303,1-0,9
2383,2256,1-0,9
2370,2190,1/2-1/2,9
2365,2253,1-0,9
2162,2286,0-1,9
