2494,2639,1/2-1/2
2604,2464,1/2-1/2
2445,2586,1-0
2579,2453,1-0
2550,2442,1-0
2436,2547,1/2-1/2
2542,2427,1-0
2531,2339,1-0
2673,2400,1-0
2418,2569,1/2-1/2
2563,2351,1-0
2350,2556,0-1
2309,2533,1/2-1/2
2288,2495,1/2-1/2
1949,2482,0-1
2479,2376,0-1
2463,2303,0-1
2440,2286,1-0
2421,2162,1/2-1/2
2527,2094,1-0
2507,2195,1-0
2225,2473,0-1
2472,2182,1-0
2190,2439,1/2-1/2
2408,2171,1-0
2173,2404,1/2-1/2
2402,2161,1-0
2151,2383,0-1
2130,2370,1-0
2092,2368,0-1
2365,2132,1-0
2076,2345,0-1
2065,2310,0-1
2279,2130,1-0
2256,2122,0-1
2027,2253,0-1
2252,2079,1-0
1939,2251,1/2-1/2
2249,2052,1-0
2198,2257,1-0
1940,2248,1-0
1951,2219,0-1
2211,1902,1/2-1/2
2012,1775,1/2-1/2
1724,2009,0-1
1720,1986,1-0
1959,1660,0-1
1953,1646,1-0
1646,1951,1-0
1913,1564,1-0
2654,2560,1-0
2534,2650,1/2-1/2
2649,2524,1-0
2512,2634,1/2-1/2
2624,2471,0-1
2483,2600,1/2-1/2
2434,2577,1-0
2574,2448,1/2-1/2
2581,2333,1-0
2554,2398,1/2-1/2
2454,2536,1-0
2330,2533,1/2-1/2
2317,2515,1/2-1/2
2260,2495,0-1
2495,2315,1-0
2465,2266,1-0
2131,2455,1/2-1/2
2429,2156,1-0
2189,2487,1/2-1/2
2426,2164,1-0
2162,2412,0-1
2405,2162,1-0
2158,2398,0-1
2155,2391,1-0
2123,2383,0-1
2383,2140,1-0
2382,2124,1-0
2079,2381,1-0
2032,2360,0-1
2358,2119,1-0
2347,2069,1/2-1/2
2032,2317,1/2-1/2
2278,2040,1-0
2008,2248,1/2-1/2
2197,2016,1-0
2364,1716,1-0
1958,2355,0-1
2217,1930,1-0
1769,2198,1/2-1/2
2176,1964,1/2-1/2
2135,1587,1-0
1725,2132,0-1
2061,1784,1-0
1714,2004,0-1
1974,1750,1/2-1/2
1705,1946,0-1
