2604,2531,1-0
2579,2303,0-1
2556,2542,1/2-1/2
2445,2547,1/2-1/2
2673,2472,1-0
2421,2639,0-1
2418,2586,1/2-1/2
2408,2569,1/2-1/2
2563,2427,1/2-1/2
2550,2464,1-0
2507,2402,1/2-1/2
2309,2482,0-1
2288,2533,0-1
2527,2376,0-1
2339,2495,1-0
2494,2368,1/2-1/2
2479,2351,1-0
2279,2442,1/2-1/2
2440,2251,1-0
2436,2249,1-0
2198,2400,1/2-1/2
2252,2473,0-1
2463,2182,1/2-1/2
2211,2453,0-1
2404,2162,1/2-1/2
2383,2161,1-0
2370,2130,1-0
2365,2130,1-0
2350,2122,1-0
2190,2345,1-0
2094,2310,1/2-1/2
2079,2286,0-1
2256,1953,1-0
1940,2253,0-1
2439,1939,1-0
2257,2012,1-0
2076,2248,0-1
2027,2219,1/2-1/2
1787,2195,1-0
2173,1902,1-0
1949,2171,0-1
2151,1882,1-0
2092,1775,1/2-1/2
2225,1904,1/2-1/2
1913,2199,0-1
2065,1724,1-0
1720,2052,0-1
2009,1660,1/2-1/2
1646,1986,0-1
1949,1951,1/2-1/2
1564,1959,0-1
2654,2434,1-0
2574,2495,1/2-1/2
2534,2471,1/2-1/2
2495,2650,1/2-1/2
2649,2455,1-0
2465,2634,0-1
2512,2600,1/2-1/2
2454,2577,1/2-1/2
2412,2533,0-1
2405,2524,1-0
2382,2515,1/2-1/2
2581,2398,0-1
2398,2624,1/2-1/2
2554,2364,1-0
2383,2536,0-1
2360,2487,0-1
2333,2483,0-1
2317,2448,0-1
2429,2266,1-0
2426,2132,1-0
2189,2560,0-1
2391,2176,1-0
2383,2164,1-0
2162,2381,0-1
2358,2162,1-0
2158,2355,1/2-1/2
2347,2155,1-0
2330,2156,1/2-1/2
2317,2131,1-0
2123,2315,0-1
2278,2124,1-0
2079,2198,1/2-1/2
2197,2032,0-1
1809,2260,1-0
2248,1930,0-1
2217,2008,0-1
2135,1888,1/2-1/2
1974,2119,0-1
1710,2069,1/2-1/2
2061,1653,1-0
1769,2140,0-1
2040,1784,1-0
2032,1750,1-0
2004,1716,1-0
1714,1964,0-1
1958,1705,1-0
1946,1446,1-0
1485,1872,1/2-1/2
1821,1725,1-0
1587,1609,1/2-1/2
1944,1534,1-0
2579,2565,1/2-1/2
2683,2580,1-0
2640,2578,1/2-1/2
2563,2627,0-1
2524,2603,1/2-1/2
2454,2602,1/2-1/2
2600,2323,1-0
2670,2432,1-0
2647,2419,1-0
2506,2643,1/2-1/2
2606,2412,1-0
2602,2387,1-0
2410,2593,0-1
2379,2533,1/2-1/2
2529,2358,1-0
2369,2529,1/2-1/2
2347,2507,0-1
2586,2247,1-0
2557,2340,1/2-1/2
2332,2527,1/2-1/2
2524,2330,1/2-1/2
2327,2505,0-1
2495,2307,1-0
2471,2306,1-0
2444,2282,0-1
2428,2240,1/2-1/2
2417,2233,1/2-1/2
2158,2398,0-1
2396,2228,1-0
2393,2214,1/2-1/2
2385,2195,0-1
2367,1923,0-1
2031,2338,1/2-1/2
2480,2135,1-0
2389,2098,1-0
2099,2336,0-1
2133,2333,0-1
2095,2332,1-0
2329,2087,1/2-1/2
2091,2328,1/2-1/2
2307,2056,1/2-1/2
2299,2028,1-0
2011,2291,0-1
2220,2008,1-0
2089,2220,1-0
1991,2204,0-1
2200,1824,1-0
2183,1795,1-0
1830,2177,0-1
1792,2173,0-1
1791,2163,0-1
1554,2157,0-1
2110,2368,1-0
2320,1983,1-0
2039,2258,1/2-1/2
1918,2171,0-1
2170,1965,1/2-1/2
2168,1945,1/2-1/2
2158,1913,0-1
2153,1871,1/2-1/2
1842,2142,0-1
2140,1854,1-0
1859,2117,1-0
2165,1835,1-0
2165,1829,0-1
1828,2105,0-1
1808,2090,0-1
2047,1719,1-0
2026,1712,1/2-1/2
1702,2014,0-1
1963,1698,1-0
1685,1917,0-1
1639,1880,0-1
1874,1554,0-1
1625,1851,0-1
1437,1949,0-1
1694,1517,1/2-1/2
1481,1683,1/2-1/2
2635,2767,1/2-1/2
2700,2653,0-1
2664,2635,1-0
2612,2615,1/2-1/2
2421,2356,1-0
2416,2666,0-1
2639,2440,1-0
2611,2432,1/2-1/2
2400,2591,0-1
2372,2588,1/2-1/2
2360,2575,0-1
2358,2561,1/2-1/2
2556,2422,0-1
2357,2531,0-1
2523,2410,1/2-1/2
2355,2512,1/2-1/2
2506,2398,1/2-1/2
2504,2315,1-0
2321,2502,1-0
2350,2500,0-1
2283,2460,0-1
2456,2290,1/2-1/2
2147,2454,0-1
2279,2594,1-0
2250,2577,0-1
2461,2239,1-0
2452,2245,1/2-1/2
2439,2224,1/2-1/2
2424,2226,1/2-1/2
2210,2361,1-0
2346,2195,1-0
2341,2164,1-0
2175,2336,1/2-1/2
2331,2153,1/2-1/2
2161,2326,0-1
2289,2132,1-0
2108,2287,1/2-1/2
2279,1961,1-0
2346,1858,1-0
2085,2269,0-1
2265,2007,1-0
2032,2255,0-1
2241,2000,1-0
2219,1947,1-0
2003,2217,0-1
2205,1884,1-0
2000,2205,1-0
2202,1876,1-0
1960,2183,1/2-1/2
1948,2178,0-1
1928,2170,0-1
1926,2129,0-1
1849,2127,0-1
2122,1763,1-0
1789,2121,0-1
2102,1716,1/2-1/2
1734,2092,0-1
1688,2091,1/2-1/2
2152,1793,1/2-1/2
2093,1892,1-0
1900,2057,1-0
1878,2045,0-1
2034,1769,1/2-1/2
1852,1959,1/2-1/2
1810,1944,0-1
1772,1941,1-0
1939,1707,1-0
1939,1558,1-0
1926,1528,0-1
2117,1544,1-0
2067,1824,1-0
1682,2048,1/2-1/2
1657,2045,0-1
1602,2012,0-1
2011,1814,1-0
2310,2148,1-0
1323,1936,1/2-1/2
1884,1731,1-0
1882,1643,1-0
1879,1627,1-0
1877,1618,1-0
1875,1524,1-0
1864,1580,1-0
1298,1677,0-1
2040,1462,1/2-1/2
1913,1449,1-0
1474,1379,1-0
2678,2715,1/2-1/2
2644,2688,1/2-1/2
2722,2569,1-0
2486,2709,0-1
2684,2501,1-0
2609,2643,1/2-1/2
2637,2509,1/2-1/2
2675,2431,1-0
2466,2710,1/2-1/2
2709,2473,1-0
2416,2212,1/2-1/2
2460,2631,1/2-1/2
2568,2432,0-1
2439,2603,0-1
2602,2435,1-0
2622,2462,1/2-1/2
2430,2566,0-1
2419,2566,0-1
2411,2565,1-0
2563,2421,1-0
2407,2556,0-1
2533,2405,1/2-1/2
2375,2531,1/2-1/2
2530,2364,1-0
2507,1910,1-0
2369,2496,0-1
2313,2485,1/2-1/2
2478,2359,1/2-1/2
2271,2441,1-0
2269,2644,0-1
2622,2257,1-0
2498,2226,1-0
2472,2136,1/2-1/2
2468,2235,1-0
2414,2135,1/2-1/2
2235,2411,0-1
2407,2124,1-0
2386,2075,1-0
2204,2375,0-1
2133,2369,1/2-1/2
2362,2009,1-0
1985,2307,0-1
1909,2280,0-1
1903,2274,0-1
2350,2069,1-0
2059,2335,0-1
2329,2044,1-0
2053,2314,0-1
2028,2312,0-1
2017,2302,0-1
2297,2008,1-0
1997,2284,0-1
2263,1991,1-0
1990,2260,1-0
2260,1990,1/2-1/2
2236,1980,1-0
1988,2223,0-1
2211,1960,0-1
1961,2197,0-1
1953,2180,1/2-1/2
1953,2169,0-1
1909,2141,0-1
2131,1903,1-0
1903,2125,1/2-1/2
1896,2125,0-1
2125,1894,1/2-1/2
2090,1873,1/2-1/2
2078,1871,0-1
2075,1853,0-1
1870,2071,0-1
2281,1936,1-0
2279,1935,1-0
2222,1915,1-0
2180,1888,1-0
2148,1872,1-0
1783,2050,0-1
1817,2046,0-1
2041,1823,1/2-1/2
1693,2016,0-1
1671,2000,0-1
1992,1610,1/2-1/2
1978,1479,0-1
1652,1969,0-1
1957,1623,1/2-1/2
1714,1949,1-0
1878,1700,1-0
1856,1661,1-0
1840,1613,1/2-1/2
1827,1646,1-0
1792,1542,1-0
1759,1451,1-0
1750,1449,1-0
1733,1370,1-0
1731,1251,1-0
1393,1840,0-1
1575,1811,1-0
1197,1331,0-1
2603,2681,1-0
2600,2646,0-1
2657,2587,1-0
2700,2487,1-0
2479,2646,0-1
2439,2511,1/2-1/2
2496,2418,1/2-1/2
2495,2359,1/2-1/2
2395,2706,0-1
2687,2408,1-0
2382,2651,0-1
2546,2233,1-0
2631,2389,1-0
2623,2385,1-0
2599,2362,1/2-1/2
2541,2376,1-0
2528,2323,1-0
2314,2503,0-1
2501,2362,1-0
2493,2308,1/2-1/2
2308,2490,0-1
2460,2294,1/2-1/2
2456,2269,1-0
2456,2251,1-0
2447,2124,1/2-1/2
2290,2444,0-1
2435,2104,1-0
2255,2427,1/2-1/2
2237,2423,0-1
2212,2466,0-1
2506,2207,1-0
2215,2463,1/2-1/2
2191,2441,0-1
2398,2187,1-0
2180,2385,0-1
2162,2345,1/2-1/2
2143,2341,1/2-1/2
2325,2117,1-0
2317,2115,1/2-1/2
2314,2099,1-0
2101,2303,0-1
2299,2019,1-0
2104,2270,1/2-1/2
2101,2257,0-1
2080,2254,1-0
2049,2249,1/2-1/2
1994,2248,1-0
1883,2239,0-1
1844,2237,1-0
2237,1985,1-0
2394,2048,1-0
2360,2044,1/2-1/2
2022,2285,1/2-1/2
2253,2044,1-0
2229,2033,1-0
2007,2209,1/2-1/2
2209,2027,1-0
2007,2208,0-1
2205,2026,1/2-1/2
2198,1967,1-0
1999,2185,1/2-1/2
2173,1964,1-0
1996,2158,0-1
1963,2155,0-1
2155,1961,0-1
2135,1953,1/2-1/2
1953,2130,1/2-1/2
2126,1940,0-1
2123,1938,1-0
1948,2116,0-1
2105,1933,1/2-1/2
1886,2105,0-1
1927,2102,0-1
2097,1854,1-0
1636,2093,1/2-1/2
1437,2066,0-1
2066,1761,1-0
2244,1650,1-0
2196,1865,1-0
1862,2176,0-1
