X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,11,6,10,7,8,3,6,4
6,28,22,14,28,9,14,19,22
5,67,62,67,87,77,63,75,63
4,129,140,107,109,123,164,159,168
3,102,139,87,29,66,137,219,197
2,105,80,26,2,8,121,135,128
1,0,0,0,0,0,0,0,0
