X,a,b,c,d,e,f,g,h
8,1,11,13,6,14,21,4,1
7,3,6,14,35,23,10,11,8
6,10,24,22,33,34,39,16,5
5,7,10,33,29,33,25,14,12
4,8,18,29,22,20,23,10,4
3,6,5,15,17,10,6,3,2
2,4,4,5,4,4,5,5,1
1,0,1,2,3,2,3,0,0
