X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,0,0,0,0,1,1,3,0
6,3,2,3,6,4,4,0,0
5,14,34,88,428,529,9,20,44
4,331,118,1439,2324,1895,441,104,127
3,509,501,967,708,1088,295,1324,626
2,4396,4380,1782,305,845,4467,3812,4472
1,0,0,0,0,0,0,0,0
