X,a,b,c,d,e,f,g,h
8,838,395,646,773,795,861,177,287
7,58,58,137,169,121,114,45,22
6,36,54,66,66,54,67,33,32
5,22,29,50,50,50,28,22,15
4,31,30,40,40,46,25,13,14
3,21,25,32,27,19,13,4,8
2,35,30,47,42,16,10,5,5
1,11,6,16,13,3,5,0,4
