X,a,b,c,d,e,f,g,h
8,1855,554,887,1051,1056,1599,165,565
7,57,38,82,120,88,99,12,22
6,37,37,39,29,52,58,38,29
5,27,24,28,35,31,36,13,19
4,24,17,42,28,34,20,10,1
3,7,9,7,11,4,8,1,1
2,22,14,24,19,9,7,4,5
1,2,1,1,2,2,0,0,2
