X,a,b,c,d,e,f,g,h
8,1,1,0,0,0,0,0,0
7,1,1,0,2,0,1,1,1
6,4,4,3,7,9,8,5,4
5,3,6,14,14,19,13,13,3
4,5,11,28,35,39,40,24,17
3,2,19,44,54,74,51,65,43
2,4,19,31,40,72,81,139,70
1,5,21,11,20,22,39,127,64
