X,a,b,c,d,e,f,g,h
8,46,55,48,57,57,48,27,22
7,27,27,25,48,48,24,27,7
6,17,25,18,22,25,22,10,8
5,16,15,18,23,21,14,8,8
4,28,22,22,20,19,14,20,8
3,25,22,19,15,22,12,10,11
2,35,30,26,24,19,20,9,16
1,23,20,17,13,6,9,10,11
