X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,3200,3178,1211,204,733,4488,3275,4145
6,1604,942,1439,1775,2101,325,1935,1078
5,547,704,1005,1428,1169,490,210,219
4,77,230,215,195,176,67,44,37
3,2,7,19,8,4,4,1,0
2,0,1,1,0,0,2,0,0
1,0,0,0,0,0,0,0,0
