X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,3719,3754,1461,311,935,4920,3609,4639
6,1458,810,1529,1978,2320,216,1863,838
5,398,610,1083,1550,1130,409,126,149
4,30,144,159,145,113,34,29,16
3,0,0,13,3,1,3,1,0
2,0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0
