X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,33,27,5,0,2,62,33,37
6,56,56,37,42,54,68,129,77
5,66,58,47,50,72,77,89,107
4,21,28,20,17,35,44,36,46
3,24,12,14,8,10,7,10,7
2,6,5,4,5,5,7,4,3
1,0,0,0,0,0,0,0,0
