X,a,b,c,d,e,f,g,h
8,26,54,84,194,75,46,6,5
7,47,84,337,219,271,77,39,7
6,24,141,104,118,73,120,71,38
5,64,37,56,45,43,41,62,36
4,30,33,23,31,24,30,16,35
3,15,10,15,18,16,11,5,17
2,32,20,11,10,5,13,3,9
1,3,4,4,4,2,1,0,5
