X,a,b,c,d,e,f,g,h
8,2,7,8,9,5,2,0,2
7,27,26,35,23,18,15,6,10
6,18,14,21,53,17,6,1,9
5,14,18,33,34,50,21,13,14
4,20,19,32,56,32,37,17,21
3,37,41,56,83,99,93,62,55
2,44,41,116,154,111,112,27,15
1,1175,468,783,1285,1116,1199,156,430
