X,a,b,c,d,e,f,g,h
8,13,9,7,8,7,4,6,10
7,18,29,13,11,12,9,3,9
6,17,21,13,17,18,14,15,20
5,19,17,33,19,36,24,25,33
4,28,28,39,53,51,37,48,45
3,26,55,80,101,98,89,62,24
2,19,41,126,153,154,71,35,5
1,12,18,41,70,40,19,5,2
