X,a,b,c,d,e,f,g,h
8,117,119,151,171,180,161,75,41
7,36,65,59,84,79,63,27,19
6,20,38,37,43,43,29,20,14
5,14,19,31,46,28,27,18,22
4,31,33,32,34,25,27,12,16
3,36,49,25,17,20,9,5,16
2,55,44,44,31,29,14,18,26
1,20,21,19,22,17,6,8,8
