X,a,b,c,d,e,f,g,h
8,33,19,359,46,51,204,8,20
7,22,529,45,388,436,50,818,27
6,139,82,155,211,299,217,105,95
5,11,45,115,67,71,120,58,28
4,21,55,38,54,48,21,49,17
3,8,11,18,16,13,10,8,32
2,10,14,10,3,10,8,5,3
1,0,0,1,2,1,3,1,1
