X,a,b,c,d,e,f,g,h
8,999,424,705,879,841,994,189,318
7,61,54,125,155,120,110,37,22
6,38,46,62,65,56,65,39,31
5,19,28,45,51,39,34,20,15
4,29,33,45,42,38,24,10,12
3,15,25,23,18,16,16,2,6
2,35,30,44,32,20,12,4,6
1,8,5,12,11,4,1,0,0
