X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,14,4,12,14,2,7,4,5
6,36,26,34,40,44,44,17,30
5,143,125,149,296,282,127,127,122
4,368,344,348,387,400,426,336,372
3,451,465,365,114,252,383,807,668
2,597,507,159,11,44,674,687,688
1,0,0,0,0,0,0,0,0
