X,a,b,c,d,e,f,g,h
8,2,1,2,3,4,1,1,3
7,17,19,10,8,10,12,10,6
6,25,29,19,37,26,20,14,49
5,24,54,40,64,46,25,79,22
4,19,35,116,92,73,105,29,38
3,63,80,115,251,313,164,99,64
2,39,230,143,173,218,97,489,25
1,20,68,137,31,42,150,13,10
