X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,0,1,0,0,0,0,2,0
6,0,1,0,1,1,0,0,0
5,0,2,1,2,4,0,0,0
4,5,3,0,6,3,5,0,2
3,11,5,8,5,8,10,2,9
2,4,4,7,14,7,13,3,3
1,4212,293,445,924,824,2846,48,1589
