X,a,b,c,d,e,f,g,h
8,0,2,5,1,2,5,0,0
7,0,2,3,1,2,1,1,2
6,2,1,13,6,5,3,6,0
5,8,7,12,14,12,12,5,5
4,4,5,5,10,17,10,5,2
3,4,8,15,17,18,22,7,6
2,2,3,8,17,14,9,4,3
1,0,3,4,3,2,9,4,0
