X,a,b,c,d,e,f,g,h
8,5,2,3,1,1,0,1,2
7,20,17,12,8,9,5,1,11
6,17,12,14,14,10,12,15,37
5,21,19,18,22,23,22,26,57
4,41,35,60,57,59,55,91,60
3,37,142,94,204,145,145,73,44
2,26,65,323,311,343,92,32,13
1,17,30,63,188,40,16,3,3
