X,a,b,c,d,e,f,g,h
8,6,89,30,38,101,81,45,2
7,20,28,94,561,263,56,48,59
6,72,211,442,67,131,816,162,28
5,126,13,201,214,202,92,17,104
4,39,80,81,93,126,56,97,29
3,1,14,22,34,17,7,7,5
2,0,6,14,8,4,13,4,0
1,3,0,0,1,0,1,1,0
