X,a,b,c,d,e,f,g,h
8,0,0,5507,0,0,4644,0,0
7,0,63,0,5,63,0,654,0
6,0,0,0,1,1,0,0,0
5,0,0,132,0,0,101,0,0
4,0,287,0,0,0,0,79,0
3,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
