X,a,b,c,d,e,f,g,h
8,4,1,5,2,2,2,5,7
7,2,8,5,5,5,7,1,2
6,5,3,4,5,7,4,4,1
5,5,3,1,10,12,7,5,5
4,4,4,7,12,8,8,6,6
3,3,5,4,6,11,12,11,5
2,2,4,6,9,16,8,6,0
1,4,2,7,6,5,5,1,2
