X,a,b,c,d,e,f,g,h
8,7,40,33,27,65,88,31,6
7,8,16,55,210,99,39,45,44
6,29,108,176,64,112,318,88,23
5,59,16,129,128,120,77,29,51
4,25,56,82,60,66,68,58,21
3,5,20,27,36,22,14,10,6
2,6,8,11,12,9,9,6,0
1,1,1,2,3,1,1,0,0
