X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,5,7,9,5,4,1,4,5
6,21,21,11,18,8,15,16,18
5,43,51,41,53,54,46,51,46
4,102,75,59,69,80,105,116,115
3,61,85,46,21,37,82,131,118
2,47,36,10,2,4,68,70,67
1,0,0,0,0,0,0,0,0
