X,a,b,c,d,e,f,g,h
8,29,30,22,41,31,27,14,15
7,21,23,14,34,30,19,14,8
6,7,19,20,20,17,13,9,9
5,14,12,16,17,21,12,11,8
4,15,17,25,14,21,15,13,8
3,30,26,11,13,14,9,5,8
2,29,25,24,21,14,15,9,11
1,15,17,12,12,11,9,7,19
