X,a,b,c,d,e,f,g,h
8,5,11,9,17,32,52,128,41
7,9,12,32,47,77,95,167,76
6,3,14,25,73,66,79,62,48
5,5,14,8,29,37,39,35,16
4,4,7,5,13,12,17,19,8
3,7,7,4,5,4,3,6,8
2,0,3,1,3,4,1,2,0
1,1,0,0,1,0,0,0,0
