X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,6,3,7,10,12,7,10,3
6,23,21,34,61,49,54,18,38
5,183,179,249,604,595,209,193,168
4,633,575,773,882,939,735,439,453
3,944,951,789,321,607,680,1393,1210
2,1900,1731,624,27,187,1959,1994,2134
1,0,0,0,0,0,0,0,0
