X,a,b,c,d,e,f,g,h
8,0,0,0,0,0,0,0,0
7,7,5,7,10,2,4,6,1
6,30,30,39,58,43,48,17,40
5,174,155,205,469,466,175,175,171
4,546,481,566,643,678,612,403,449
3,735,791,593,218,437,575,1145,1009
2,1239,1081,377,19,94,1314,1381,1418
1,0,0,0,0,0,0,0,0
