X,a,b,c,d,e,f,g,h
8,12,20,21,12,41,104,302,115
7,8,16,35,59,94,131,236,138
6,9,17,28,85,104,103,86,39
5,3,11,19,43,42,25,22,11
4,4,3,17,16,6,16,9,7
3,2,4,3,6,4,3,4,1
2,3,1,2,1,0,1,0,0
1,0,0,0,0,0,0,0,0
