X,a,b,c,d,e,f,g,h
8,19,67,120,1287,92,16,1,0
7,13,55,882,345,500,39,8,2
6,39,315,83,130,52,141,36,21
5,173,18,47,45,43,28,37,34
4,21,31,16,14,6,15,13,39
3,8,5,12,4,6,2,2,12
2,15,14,2,4,2,3,2,6
1,2,1,2,0,1,0,0,1
